Disease,Date,Location (state/province level),No. of Cases,Source
Influenza A (H5N1) ,"June 13 - July 7, 2026","Sylhet Division, Bangladesh",1,"Bangladesh reports third human HPAI (H5) case (pediatric, age unknown) - BEACON"
Influenza A (H5N1) ,"July 11, 2026","Meanchey District, Phnom Penh, Cambodia",1,https://www.cidrap.umn.edu/avian-influenza-bird-flu/cambodia-confirms-human-h5n1-avian-flu-case-h5n1-hits-more-utah-egg-farms 
Influenza A (H7N9),----,----,----,----
Influenza A (H1N1),"June 14 – June 20, 2026","New York City, New York, USA",1 (Lab confirmed),CDC FluView City Tracking Grid
Influenza A (H1N1),"June 14 – June 20, 2026","Province of Ontario, Canada",12 (Lab isolates),https://health-infobase.canada.ca/respiratory-virus-surveillance/influenza.html 
Influenza A (H1N1),"June 14 – June 20, 2026","Province of Quebec, Canada",5 (Lab isolates),https://health-infobase.canada.ca/respiratory-virus-surveillance/influenza.html 
Influenza A (H1N1),"June 21 – June 27, 2026","State of Victoria, Australia",152 (Lab confirmed),Victorian Respiratory Surveillance Report
Influenza A (H1N1),"June 28 – July 4, 2026","State of Victoria, Australia",178 (Lab confirmed),https://www.health.vic.gov.au/infectious-diseases/victorian-respiratory-surveillance-report 
Influenza A (H1N1),"July 1 – July 15, 2026","Province of Guangdong, China",4 (Lab extractions),Hong Kong Centre for Health Protection Log
Influenza A (H1N1),"July 6 – July 12, 2026",State of Western Australia,8 (Lab specimens),Immunisation Coalition Aus-Flu Tracking
Influenza A (H1N1),"June 1 – June 15, 2026","Sylhet District, Bangladesh",2 (Lab confirmed),WHO SEARO RespiMart Log
Influenza A (H1N1),"June 1 – July 22, 2026","National Capital Region (Delhi), India",Low Baseline,Indian Ministry of Health Genomic Track
SARS-CoV-2,"June 21 – June 27, 2026","State of Victoria, Australia",382 (Notified case logs),Victorian Department of Health
SARS-CoV-2,"June 21 – June 27, 2026",England (National/Regional),79 (Weekly notification total),UKHSA Data Dashboard
SARS-CoV-2,"June 21 – June 27, 2026",United Kingdom (GP Sentinel Net),12 (Positive swab isolates),UKHSA Weekly Surveillance Archive
SARS-CoV-2,"June 21 – July 4, 2026","Peel Region, Ontario, Canada",0.3% (Laboratory Positivity Rate),Peel Public Health
SARS-CoV-2,"June 28 – July 4, 2026","State of Victoria, Australia",333 (Notified case logs),https://www.health.vic.gov.au/sites/default/files/2026-07/victorian-respiratory-surveillance-report-10-july-2026_0.pdf 
SARS-CoV-2,"June 28 – July 4, 2026",United Kingdom (DataMart System),18 (Positive sample logs),https://www.gov.uk/government/statistics/national-flu-and-covid-19-surveillance-reports-2025-to-2026-season/national-flu-and-covid-19-surveillance-report-2-july-2026-week-27 
SARS-CoV-2,"June 1 – June 30, 2026","Southern Provinces & Nationwide, China","79,000 (Confirmed case logs)",Chinese CDC via The Epoch Times
SARS-CoV-2,"June 15 – June 21, 2026",African Regional Network,2.8% (Laboratory Positivity Rate),World Health Organization COVID-19 Dashboard
SARS-CoV-2,"June 22 – June 28, 2026",African Regional Network,4.8% (Laboratory Positivity Rate),https://data.who.int/dashboards/covid19/summary 
SARS-CoV-2,"July 6 – July 12, 2026","Clinical Sentinels, China",11.9% (Laboratory Positivity Rate),Chinese CDC via BEACON Bio
Mpox (Clade I),"June 1 – June 23, 2026","Chicago, Illinois, USA",1 (Confirmed local transmission),Chicago Health Alert Network
Mpox (Clade Ib),"June 1 – June 30, 2026","England (Majority London), UK",66 (Cumulative through June),UK Health Security Agency
Mpox (Clade I),"June 1 – June 30, 2026",EU/EEA (Regional Sentinel Network),129 (Monthly notification total),European Centre for Disease Prevention and Control
Mpox (Clade II),"June 1 – June 30, 2026",EU/EEA (Regional Sentinel Network),22 (Monthly notification total),https://www.gov.uk/government/publications/monkeypox-outbreak-epidemiological-overview/mpox-outbreak-epidemiological-overview-9-july-2026 
Mpox (Clade Ib),"June 1 – June 30, 2026","Northern Ireland, UK",21 (Cumulative through June),https://www.ecdc.europa.eu/sites/default/files/documents/communicable-disease-threats-report-week-29-2026.pdf 
Mpox (Clade I),"July 1 – July 22, 2026","State of Arizona, USA",1 (Confirmed travel-associated),Arizona Department of Health Services
Mpox (Clade I),"May 1 – June 14, 2026","Antananarivo & Districts, Madagascar",689 (Confirmed case logs),World Health Organization Report #67
Mpox (Clade I),"May 1 – June 14, 2026","Rift Valley Province & Local Hubs, Kenya",28 (Confirmed case logs),World Health Organization Report #67
Mpox (Clade I),"May 1 – June 14, 2026","Nzérékoré Region, Guinea",15 (Confirmed case logs),World Health Organization Report #67
Mpox (Clade I),"May 1 – June 14, 2026","Central Equatoria State, South Sudan",15 (Confirmed case logs),World Health Organization Report #67
Mpox (Clade Ib),"Jan 1 – June 4, 2026","State of São Paulo, Brazil",4 (Travel-linked logs),Pan American Health Organization
Mpox (Clade Ib),"Jan 1 – June 4, 2026","Buenos Aires Province, Argentina",2 (Travel-linked logs),Pan American Health Organization
Mpox (Clade II),"June 1 – June 29, 2026","Mandaluyong City, Metro Manila, Philippines",1 (Confirmed local case),Mandaluyong City Health Office via Outbreak News
Mpox (Clade Ib),"June 1 – June 30, 2026","Bangkok & Central Provinces, Thailand",29 (Local sustained transmission),World Health Organization SEARO Bulletin
Mpox (Clade II),"June 1 – June 30, 2026","Northern & Southern Regions, Taiwan",15 (Local surveillance logs),Taiwan Centers for Disease Control
Mpox (Clade Ib),"June 29 – July 12, 2026","Bangkok Metro Hub, Thailand",5 (Active cluster monitoring),World Health Organization SEARO Bulletin
Mpox (Clade Ib),"July 1 – July 6, 2026",Northern Taiwan (Taipei Area Hub),1 (Imported travel-linked case),Taiwan Centers for Disease Control
Measles,"June 23 – July 7, 2026","Central Region, Virginia, USA",32 (Confirmed local transmissions),U.S. Measles Tracker (IVAC)
Measles,"June 23 – July 7, 2026","Lancaster County, Pennsylvania, USA",17 (Outbreak infection cluster),U.S. Measles Tracker (IVAC)
Measles,"June 23 – July 7, 2026","Unknown County, Oregon, USA",6 (Symptomatic transmission surveillance),U.S. Measles Tracker (IVAC)
Measles,"June 23 – July 7, 2026","Tricounty Health District, Utah, USA",4 (Active community flare-up),U.S. Measles Tracker (IVAC)
Measles,"June 23 – July 7, 2026","Utah County, Utah, USA",2 (Local surveillance logs),U.S. Measles Tracker (IVAC)
Measles,"June 23 – July 7, 2026","Salt Lake County, Utah, USA",2 (Local surveillance logs),U.S. Measles Tracker (IVAC)
Measles,"July 1 – July 22, 2026","State of Delaware, USA",2 (Outbreak declaration metrics),Delaware Division of Public Health
Measles,"July 1 – July 22, 2026","Baltimore Area, Maryland, USA",2 (Confirmed travel-associated logs),FOX 5 DC Health Update
Measles,"June 1 – June 30, 2026","Greater London Region, England, UK",463 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"June 1 – June 30, 2026","West Midlands Region, England, UK",147 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"June 1 – June 30, 2026","North West Region, England, UK",89 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"June 1 – June 30, 2026","South East Region, England, UK",17 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"June 1 – June 30, 2026","Greater London Region, England, UK",463 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"June 1 – June 30, 2026","West Midlands Region, England, UK",147 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"June 1 – June 30, 2026","North West Region, England, UK",89 (Cumulative through June),UKHSA Measles Epidemiology Tracker
Measles,"Jan 1 – June 30, 2026","Yvelines Department, Île-de-France, France",47 (10% of national cumulative),Santé Publique France National Bulletin
Measles,"Jan 1 – June 30, 2026","Moselle Department, Grand Est, France",38 (8% of national cumulative),Santé Publique France National Bulletin
Measles,"Jan 1 – June 30, 2026","Hauts-de-Seine Department, France",38 (8% of national cumulative),Santé Publique France National Bulletin
Measles,"Jan 1 – June 30, 2026","Haute-Savoie Department, France",33 (7% of national cumulative),Santé Publique France National Bulletin
Measles,"Jan 1 – June 30, 2026","Paris Department, Île-de-France, France",33 (7% of national cumulative),Santé Publique France National Bulletin
Measles,June 2026,"Free State, South Africa",32 (New cases reported in June),NICD Weekly Situation Report
Measles,June 2026,"Western Cape, South Africa",30 (New cases reported in June),NICD Weekly Situation Report
Measles,June 2026,"Gauteng, South Africa",20 (New cases reported in June),NICD Weekly Situation Report
Measles,June 2026,"Northern Cape, South Africa",18 (New cases reported in June),NICD Weekly Situation Report
Measles,June 2026,"Limpopo, South Africa",14 (New cases reported in June),NICD Weekly Situation Report
Measles,June 2026,"Sub-national level (Bangladesh, India, Nepal, Thailand, Maldives)",Active surge & outbreaks reported,WHO South-East Asia Region
Measles,June–July 2026,"Conflict-affected zones (Sudan, Nigeria, Yemen, Cameroon)",Ongoing regional resurgence,ReliefWeb / Save the Children
Polio (WPV1),June 2026,"Herat / Helmand / Nangarhar, Afghanistan",1,GPEI Polio This Week
Polio (cVDPV3),"June 1, 2026","Zamfara State, Nigeria",1,GPEI Polio This Week
Polio (cVDPV1),"June 1, 2026 (Env Detection)","Sud-Ouest Region, Madagascar",0 (1 Env sample),GPEI Polio This Week
Polio (WPV1),"June 11, 2026 (Env Detection)","Peshawar, Khyber Pakhtunkhwa, Pakistan",0 (1 Env sample),GPEI Polio This Week
Dengue,02 July 2026,Vanuatu (Pacific region),29,(Travel Health Pro)
Dengue,19 June 2026,Western Province (Sri Lanka),"44,000+",(Reuters)
Dengue,July 2026 (EpiWeek 28),"Upolu Island, Samoa",32 new cases (92% of national weekly total),ReliefWeb / Pacific Community (SPC)
Dengue,July 2026 (as of July 19),New Caledonia (Territory-wide),"2,214 cumulative cases (33 new cases)",DASS Nouvelle-Calédonie via ReliefWeb
Dengue,July 2026 (as of July 17),"Futuna Island, Wallis and Futuna",27 cumulative cases (5 new cases),ReliefWeb / Pacific Community (SPC)
Dengue,July 2026 (as of July 17),"Wallis Island, Wallis and Futuna",20 cumulative cases (1 new case),ReliefWeb / Pacific Community (SPC)
Dengue,July 2026 (EpiWeek 27),"South-West Efate Island, Shefa Province, Vanuatu",38 cumulative cases (9 new cases),ReliefWeb / Pacific Community (SPC)
Dengue,July 2026 (EpiWeek 28),American Samoa (Territory-wide),"1,036 cumulative cases (2 new cases)",ReliefWeb / Pacific Community (SPC)
Dengue,July 2026 (EpiWeek 29: July 13–19),"Western Province (Gampaha/Colombo/Kalutara), Sri Lanka","3,870 weekly cases (52.4% of 7,385 national weekly cases)",National Dengue Control Unit / ReliefWeb
Dengue,June 2026 (Monthly Total),"National / Western Province Focus, Sri Lanka","14,446 cases",Epidemiology Unit Sri Lanka
Dengue,July 2026 (week ending July 5),"Bandiagara & Bamako Regions, Mali",12 confirmed cases (weekly update),UN OCHA / ReliefWeb
Dengue,June 2026 (EpiWeek 25 report),"Garissa County, Kenya","1,583 cumulative cases",WHO AFRO Weekly Bulletin
